,Round,Quartile,Avg. Funding,Std. Dev.,Mean Differences
0,Avg Loan Amt per Emp_1,0-25%,3344.254952930711,7588.731177448888,"0-25%-25-50%: Δ=226.2169, p=0.0258, 0-25%-50-75%: Δ=736.0416, p=0.0000, 0-25%-75-100%: Δ=1367.1085, p=0.0000"
1,Avg Loan Amt per Emp_1,25-50%,3118.038051576815,4653.846066186177,"0-25%-25-50%: Δ=226.2169, p=0.0258, 25-50%-50-75%: Δ=509.8247, p=0.0000, 25-50%-75-100%: Δ=1140.8916, p=0.0000"
2,Avg Loan Amt per Emp_1,50-75%,2608.2133884467576,3118.6847751037676,"0-25%-50-75%: Δ=736.0416, p=0.0000, 25-50%-50-75%: Δ=509.8247, p=0.0000, 50-75%-75-100%: Δ=631.0669, p=0.0000"
3,Avg Loan Amt per Emp_1,75-100%,1977.1464714436454,2623.4124646165283,"0-25%-75-100%: Δ=1367.1085, p=0.0000, 25-50%-75-100%: Δ=1140.8916, p=0.0000, 50-75%-75-100%: Δ=631.0669, p=0.0000"
4,Avg Loan Amt per Emp_2,0-25%,1587.2560943506467,2454.5916837989525,"0-25%-25-50%: Δ=-85.3517, p=0.0514, 0-25%-50-75%: Δ=-134.4877, p=0.0025, 0-25%-75-100%: Δ=-58.3383, p=0.1365"
5,Avg Loan Amt per Emp_2,25-50%,1672.607779260341,2956.994544085046,"0-25%-25-50%: Δ=-85.3517, p=0.0514, 25-50%-50-75%: Δ=-49.1360, p=0.3089, 25-50%-75-100%: Δ=27.0134, p=0.5342"
6,Avg Loan Amt per Emp_2,50-75%,1721.7437981937726,3031.3114422058015,"0-25%-50-75%: Δ=-134.4877, p=0.0025, 25-50%-50-75%: Δ=-49.1360, p=0.3089, 50-75%-75-100%: Δ=76.1494, p=0.0844"
7,Avg Loan Amt per Emp_2,75-100%,1645.594423358752,2405.2308449648795,"0-25%-75-100%: Δ=-58.3383, p=0.1365, 25-50%-75-100%: Δ=27.0134, p=0.5342, 50-75%-75-100%: Δ=76.1494, p=0.0844"
8,Avg Loan Amt per Emp_3,0-25%,3286.408779106569,5026.787735549051,"0-25%-25-50%: Δ=375.3279, p=0.0000, 0-25%-50-75%: Δ=817.0118, p=0.0000, 0-25%-75-100%: Δ=486.6247, p=0.0000"
9,Avg Loan Amt per Emp_3,25-50%,2911.0808745234563,5287.5665384869035,"0-25%-25-50%: Δ=375.3279, p=0.0000, 25-50%-50-75%: Δ=441.6839, p=0.0000, 25-50%-75-100%: Δ=111.2968, p=0.1855"
10,Avg Loan Amt per Emp_3,50-75%,2469.396940817831,2972.372608321188,"0-25%-50-75%: Δ=817.0118, p=0.0000, 25-50%-50-75%: Δ=441.6839, p=0.0000, 50-75%-75-100%: Δ=-330.3871, p=0.0000"
11,Avg Loan Amt per Emp_3,75-100%,2799.7840750867636,5138.008954180687,"0-25%-75-100%: Δ=486.6247, p=0.0000, 25-50%-75-100%: Δ=111.2968, p=0.1855, 50-75%-75-100%: Δ=-330.3871, p=0.0000"
