ZIP,Num Farms,Num Estabs,Total Emp Bus,Min Share,Black Share,Number of Loans_1,Total Loans Amount_1,Total Employees_1,Number of Loans_2,Total Loans Amount_2,Total Employees_2,Number of Loans_3,Total Loans Amount_3,Total Employees_3
00501,0.0,10.0,10.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01001,11.0,475.0,486.0,0.0878984063745019,0.0280751992031872,0,0.0,0,0,0.0,0,0,0.0,0
01002,60.0,502.0,562.0,0.25768297950098,0.058108242798764,0,0.0,0,0,0.0,0,0,0.0,0
01003,3.0,15.0,18.0,0.311442871936486,0.0449603037625129,0,0.0,0,0,0.0,0,0,0.0,0
01004,3.0,6.0,9.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01005,60.0,99.0,159.0,0.0559427022841656,0.0199380565234223,0,0.0,0,0,0.0,0,0,0.0,0
01007,84.0,229.0,313.0,0.0812334217506631,0.0074270557029177,0,0.0,0,0,0.0,0,0,0.0,0
01008,31.0,19.0,50.0,0.0197132616487455,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01009,3.0,14.0,17.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01010,51.0,83.0,134.0,0.155064155064155,0.0546000546000546,0,0.0,0,0,0.0,0,0,0.0,0
01011,42.0,8.0,50.0,0.0343203230148048,0.0026917900403768,0,0.0,0,0,0.0,0,0,0.0,0
01012,14.0,14.0,28.0,0.0352941176470588,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01013,3.0,307.0,310.0,0.2324640485509477,0.0448568538634064,0,0.0,0,0,0.0,0,0,0.0,0
01020,9.0,525.0,534.0,0.1374590895566795,0.0526959568911368,0,0.0,0,0,0.0,0,0,0.0,0
01021,0.0,6.0,6.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01022,0.0,74.0,74.0,0.2796187017703132,0.1947344530186109,0,0.0,0,0,0.0,0,0,0.0,0
01026,29.0,22.0,51.0,0.0174757281553398,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01027,42.0,415.0,457.0,0.0623547417946828,0.0048183209568618,0,0.0,0,0,0.0,0,0,0.0,0
01028,8.0,498.0,506.0,0.0925069380203514,0.0222016651248843,0,0.0,0,0,0.0,0,0,0.0,0
01029,6.0,16.0,22.0,0.0174825174825175,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01030,12.0,219.0,231.0,0.0542863965613309,0.0159993632094245,0,0.0,0,0,0.0,0,0,0.0,0
01031,11.0,17.0,28.0,0.096100278551532,0.0034818941504178,0,0.0,0,0,0.0,0,0,0.0,0
01032,11.0,26.0,37.0,0.0082987551867219,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01033,51.0,132.0,183.0,0.0389857369255151,0.0030110935023771,0,0.0,0,0,0.0,0,0,0.0,0
01034,26.0,34.0,60.0,0.0543735224586288,0.008983451536643,0,0.0,0,0,0.0,0,0,0.0,0
01035,64.0,295.0,359.0,0.1266891891891891,0.0559309309309309,0,0.0,0,0,0.0,0,0,0.0,0
01036,15.0,110.0,125.0,0.0585620409741012,0.0019327406262079,0,0.0,0,0,0.0,0,0,0.0,0
01037,28.0,16.0,44.0,0.057632398753894,0.0031152647975077,0,0.0,0,0,0.0,0,0,0.0,0
01038,31.0,63.0,94.0,0.0625706747078779,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01039,23.0,35.0,58.0,0.0716374269005848,0.0160818713450292,0,0.0,0,0,0.0,0,0,0.0,0
01040,40.0,845.0,885.0,0.1997211224820099,0.0427778192774084,0,0.0,0,0,0.0,0,0,0.0,0
01041,0.0,20.0,20.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01050,31.0,33.0,64.0,0.0603096984515076,0.0114099429502852,0,0.0,0,0,0.0,0,0,0.0,0
01053,4.0,35.0,39.0,0.0502702702702703,0.0329729729729729,0,0.0,0,0,0.0,0,0,0.0,0
01054,15.0,27.0,42.0,0.0832,0.0122666666666666,0,0.0,0,0,0.0,0,0,0.0,0
01056,30.0,406.0,436.0,0.0749187202563257,0.0173396786505206,0,0.0,0,0,0.0,0,0,0.0,0
01057,53.0,141.0,194.0,0.0387331966279335,0.0124174071542492,0,0.0,0,0,0.0,0,0,0.0,0
01059,0.0,6.0,6.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01060,14.0,690.0,704.0,0.1559868180153789,0.0227633345538874,0,0.0,0,0,0.0,0,0,0.0,0
01061,0.0,21.0,21.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01062,9.0,199.0,208.0,0.0872794800371402,0.0152687506447952,0,0.0,0,0,0.0,0,0,0.0,0
01063,0.0,0.0,0.0,0.2552166934189406,0.0224719101123595,0,0.0,0,0,0.0,0,0,0.0,0
01066,11.0,6.0,17.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01068,32.0,33.0,65.0,0.0232273838630806,0.0024449877750611,0,0.0,0,0,0.0,0,0,0.0,0
01069,27.0,238.0,265.0,0.106585589720055,0.0382055988985773,0,0.0,0,0,0.0,0,0,0.0,0
01070,25.0,8.0,33.0,0.1443298969072165,0.0014727540500736,0,0.0,0,0,0.0,0,0,0.0,0
01071,4.0,18.0,22.0,0.0689655172413793,0.0330459770114942,0,0.0,0,0,0.0,0,0,0.0,0
01072,18.0,21.0,39.0,0.1440622972096041,0.0123296560674886,0,0.0,0,0,0.0,0,0,0.0,0
01073,36.0,120.0,156.0,0.0671097422596855,0.0055114281082833,0,0.0,0,0,0.0,0,0,0.0,0
01074,0.0,8.0,8.0,0.0681818181818182,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01075,13.0,303.0,316.0,0.1000282246683601,0.0174428450465707,0,0.0,0,0,0.0,0,0,0.0,0
01077,43.0,226.0,269.0,0.0515326064595762,0.0006171569635877,0,0.0,0,0,0.0,0,0,0.0,0
01079,12.0,10.0,22.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01080,0.0,39.0,39.0,0.1694915254237288,0.0264572137246796,0,0.0,0,0,0.0,0,0,0.0,0
01081,13.0,20.0,33.0,0.033040784718637,0.0046463603510583,0,0.0,0,0,0.0,0,0,0.0,0
01082,38.0,162.0,200.0,0.0488347355188086,0.0176965477226573,0,0.0,0,0,0.0,0,0,0.0,0
01083,20.0,31.0,51.0,0.0444799999999999,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01084,3.0,0.0,3.0,0.1393939393939394,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01085,59.0,834.0,893.0,0.0997653144307677,0.0150390344365151,0,0.0,0,0,0.0,0,0,0.0,0
01086,1.0,13.0,14.0,0.0911680911680912,0.0455840455840455,0,0.0,0,0,0.0,0,0,0.0,0
01088,2.0,27.0,29.0,0.0085034013605441,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01089,9.0,923.0,932.0,0.1562028955025064,0.0267465909489255,0,0.0,0,0,0.0,0,0,0.0,0
01090,0.0,17.0,17.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01092,0.0,16.0,16.0,0.0241666666666666,0.0241666666666666,0,0.0,0,0,0.0,0,0,0.0,0
01093,21.0,34.0,55.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01094,0.0,0.0,0.0,0.0373831775700934,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01095,6.0,296.0,302.0,0.0730664857530529,0.0351424694708276,0,0.0,0,0,0.0,0,0,0.0,0
01096,26.0,48.0,74.0,0.0026223776223776,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01097,0.0,0.0,0.0,0.043010752688172,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01098,45.0,19.0,64.0,0.0076142131979695,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01101,5.0,11.0,16.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01102,0.0,14.0,14.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01103,0.0,393.0,393.0,0.5289089994972348,0.1970839617898441,0,0.0,0,0,0.0,0,0,0.0,0
01104,1.0,502.0,503.0,0.3713174946004319,0.1162419006479481,0,0.0,0,0,0.0,0,0,0.0,0
01105,0.0,249.0,249.0,0.5188522646431113,0.2200616552051221,0,0.0,0,0,0.0,0,0,0.0,0
01106,0.0,278.0,278.0,0.1170692028532098,0.012764359904893,0,0.0,0,0,0.0,0,0,0.0,0
01107,0.0,138.0,138.0,0.3993842469853759,0.1280253142906012,0,0.0,0,0,0.0,0,0,0.0,0
01108,0.0,248.0,248.0,0.4262605599121112,0.2009698071750577,0,0.0,0,0,0.0,0,0,0.0,0
01109,2.0,312.0,314.0,0.5145678529526789,0.3481944987615695,0,0.0,0,0,0.0,0,0,0.0,0
01111,0.0,8.0,8.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01115,0.0,42.0,42.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01116,0.0,3.0,3.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01118,2.0,134.0,136.0,0.3124873643776534,0.1634207156816497,0,0.0,0,0,0.0,0,0,0.0,0
01119,3.0,149.0,152.0,0.3499584999622727,0.1873538066852788,0,0.0,0,0,0.0,0,0,0.0,0
01128,0.0,52.0,52.0,0.2502509200401471,0.097356975577116,0,0.0,0,0,0.0,0,0,0.0,0
01129,0.0,137.0,137.0,0.2965374841168996,0.1956797966963151,0,0.0,0,0,0.0,0,0,0.0,0
01138,0.0,4.0,4.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01144,0.0,48.0,48.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01151,0.0,130.0,130.0,0.3977859778597786,0.2523985239852399,0,0.0,0,0,0.0,0,0,0.0,0
01199,0.0,8.0,8.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01201,34.0,1248.0,1282.0,0.1434878587196467,0.0448783596185794,0,0.0,0,0,0.0,0,0,0.0,0
01202,2.0,21.0,23.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01220,25.0,154.0,179.0,0.0512978226104071,0.0066428835035059,0,0.0,0,0,0.0,0,0,0.0,0
01222,10.0,17.0,27.0,0.036111111111111,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01223,23.0,42.0,65.0,0.0664265706282513,0.0108043217286914,0,0.0,0,0,0.0,0,0,0.0,0
01224,0.0,3.0,3.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01225,33.0,54.0,87.0,0.0468800517297122,0.0093760103459424,0,0.0,0,0,0.0,0,0,0.0,0
01226,6.0,116.0,122.0,0.0183636906539265,0.0011943863839952,0,0.0,0,0,0.0,0,0,0.0,0
01227,0.0,6.0,6.0,,,0,0.0,0,0,0.0,0,0,0.0,0
01229,3.0,5.0,8.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01230,55.0,397.0,452.0,0.0599712712473067,0.0208283457026574,0,0.0,0,0,0.0,0,0,0.0,0
01235,18.0,45.0,63.0,0.0354579991557619,0.0029548332629801,0,0.0,0,0,0.0,0,0,0.0,0
01236,0.0,48.0,48.0,0.2263792010145846,0.0995561192136968,0,0.0,0,0,0.0,0,0,0.0,0
01237,37.0,92.0,129.0,0.0142743854084059,0.000396510705789,0,0.0,0,0,0.0,0,0,0.0,0
01238,24.0,241.0,265.0,0.0866220735785953,0.0053511705685618,0,0.0,0,0,0.0,0,0,0.0,0
01240,12.0,248.0,260.0,0.0683669095585083,0.0252893270467209,0,0.0,0,0,0.0,0,0,0.0,0
01242,0.0,15.0,15.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01243,3.0,6.0,9.0,0.0775193798449612,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01244,1.0,4.0,5.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0
01245,19.0,20.0,39.0,0.0077519379844961,0.0,0,0.0,0,0,0.0,0,0,0.0,0
