Lender,IDs,Loan Count,Total Amount,Total Employees,Traditional
"	Yankee Farm Credit, ACA",[529007],227,12960378.229999999,1680.0,0
121 Financial Credit Union,[94293],849,54531420.0,7726.0,1
1st Advantage Bank,[433128],199,27892692.99,3134.0,1
1st Bank Yuma,[233059],465,50098700.0,7309.0,1
1st Bank of Sea Isle City,[87061],107,4524353.17,956.0,1
1st Bergen FCU,[464550],93,1613583.0,159.0,0
1st Capital Bank,[447232],704,165025751.10999998,15339.0,1
1st Choice CU,[95038],931,15639876.309999999,2092.0,0
1st Colonial Community Bank,[124545],958,94366189.12,9067.0,1
1st Community Bank,[22568],139,3896717.32,407.0,1
1st Equity Bank,[121519],165,20579291.54,2089.0,1
1st Financial Bank USA,[66497],246,6537212.0,566.0,1
1st MidAmerica CU,[95870],185,5812639.5,811.0,0
1st National Bank,[57878],341,15499424.47,1910.0,1
1st Security Bank of Washington,[107784],796,125386732.25,12215.0,1
1st Source Bank,[24195],6581,856364295.18,96683.0,1
1st State Bank,[378002],857,132489651.37,13221.0,1
1st Summit Bank,[65256],977,81471310.92,11538.0,1
"1st Trust Bank, Inc.",[426685],227,22129734.59,2360.0,1
1st United Bank,[88765],203,15695551.350000001,2344.0,1
21st Century Bank,[36718],1025,115333958.6,12077.0,1
22nd State Bank,[2082],422,16806841.57,1705.0,1
360 FCU,[93586],36,2173961.39,256.0,0
4Front Credit Union,[98980],506,14666830.92,2559.0,1
5Star Bank,[110204],265,50820096.61000001,4972.0,1
A N E C A FCU,[97538],447,13486225.0,2270.0,0
"A10Capital, LLC",[530323],16470,629019022.6100001,63840.0,0
AB&T,[123991],269,35588745.2,3737.0,1
ABNB FCU,[107222],472,20046531.2,3091.0,0
ACNB Bank,[60227],2161,220127162.67,25004.0,1
ACT 1st FCU,[98020],58,1193176.62,245.0,0
AEA FCU,[91255],83,2858133.71,637.0,0
AG CREDIT ACA,[528997],3214,64347853.870000005,5950.0,0
AMG National Trust Bank,[227670],56,18632206.29,1614.0,1
"AMPAC Tri-State CDC, Inc.",[447142],643,13396003.13,1523.0,0
ANB Bank,[15169],3598,371561032.1599999,38966.0,1
"ANZ Guam, Inc",[117057],260,18781368.82,4722.0,0
Abacus Federal Savings Bank,[90626],192,5491713.0,1346.0,1
Abanca Corporation,[531122],1,1373330.0,129.0,0
Abington Bank,[89069],622,41253488.16,4845.0,1
"Academy Bank, National Association",[15727],2311,265938043.05999997,32246.0,0
Acadia FCU,[97901],398,11270919.66,1521.0,0
Access Bank,[452526],992,118527798.58,13886.0,1
Access to Capital for Entrepreneurs,[428018],643,15000214.589999998,2331.0,0
Achieva CU,[94636],1398,58336251.19,7815.0,0
Adams Bank & Trust,[42396],1532,93971747.48999998,10943.0,1
Adams Community Bank,[30944],495,34130728.44,4667.0,1
Adams County Bank,[42262],302,6709983.45,860.0,1
Addition Financial CU,[94548],951,31011243.38,4614.0,0
Adirondack Bank,[120225],1339,117120304.09,15929.0,1
Adirondack Regional FCU,[101910],156,9274328.05,1182.0,0
Adrian Bank,[40080],255,5289673.23,670.0,1
Adrian State Bank,[36578],61,1332257.81,212.0,1
Adventure CU,[99179],152,3547757.02,547.0,0
Advia Credit Union,[99353],1343,50394659.15,7204.0,1
Affinity Bank,[81965],1808,196742776.24999997,19209.0,0
Affinity FCU,[102038],1568,90831516.49000001,9502.0,0
Affinity Plus FCU,[99876],1103,17903399.85,2636.0,0
"AgCarolina Farm Credit, ACA",[528975],938,22117135.25,3315.0,1
AgChoice ACA,[472693],909,57929037.589999996,6690.0,0
"AgCountry Farm Credit Service, PCA",[528976],3750,86657489.78,8155.0,0
"AgSouth Farm Credit, ACA",[238223],300,13388626.6,1651.0,0
AlaTrust CU,[90851],43,1561494.99,181.0,0
Alabama CU,[90799],263,5666385.98,933.0,0
Alabama Central CU,[90792],89,2645066.08,271.0,0
Alabama Teachers CU,[90919],193,14825433.16,2126.0,0
Alamosa State Bank,[15017],264,15826676.98,1958.0,1
"Albany Bank and Trust Company, National Association",[21011],271,38923154.769999996,4486.0,0
Alden State Bank,[33523],286,23097797.98,3234.0,1
"Alerus Financial, National Association",[52795],2708,528688627.87,50943.0,1
Algonquin State Bank,[20200],266,11401895.67,1325.0,1
All In FCU,[90825],448,7564900.0,1298.0,0
Allegacy FCU,[102274],330,19813892.88,2662.0,0
Alliance Bank,"[71939, 122323, 38294, 123049, 23147, 76543]",3185,223433360.22000003,25947.0,1
Alliance Bank & Trust Company,[388147],224,26337935.09,3388.0,1
Alliance Bank Central Texas,[70518],332,18248992.779999997,2186.0,1
Alliance CU,[100146],517,21951747.72,3426.0,0
Alliance Catholic CU,[99499],55,4107223.0,644.0,0
Alliance Community Bank,[20268],404,11738862.19,1519.0,1
Alliant Bank,[41091],588,22247855.52,2892.0,1
Allied First Bank,[118903],307,24699027.57,2571.0,0
Alloya Corporate FCU,[486599],9,6479020.95,381.0,0
Alltru FCU,[100134],16,691815.0,155.0,0
Ally Bank,[426652],1058,808458791.33,65983.0,1
Alma Bank,[450640],392,79771252.48,7898.0,1
Alpine Bank,[15517],5904,466248521.29,57240.0,1
Alpine Capital Bank,[124512],185,30359879.66,3230.0,1
AltCap PPP Lending,[529671],369,7506441.02,1116.0,0
Altamaha Bank & Trust Company,[19765],290,19808202.14,3023.0,0
Altana FCU,[100413],143,3408063.07,481.0,0
Alternatives FCU,[109558],323,11965646.82,2048.0,0
Altoona First Savings Bank,[77564],250,13952309.120000001,2274.0,1
Altra FCU,[108443],927,40887907.28,6076.0,0
Alva State Bank & Trust Company,[58720],734,28527277.12,3639.0,1
Amalgamated Bank,[47473],196,45273024.5,3019.0,1
Amalgamated Bank of Chicago,[20494],65,16367767.54,1495.0,1
Amarillo National Bank,[68966],4772,601822172.6399999,60274.0,1
Ambler Savings Bank,[80047],583,45668982.0,5081.0,1
Amboy Bank,[43940],1286,138524847.97,17620.0,1
"Amerant Bank, National Association",[17356],3716,317449291.8899999,37775.0,1
Amerasia Bank,[112305],446,33879866.86,3702.0,1
AmeriFirst Bank,[3328],265,19520645.45,2841.0,1
AmeriServ Financial Bank,[60613],694,101240536.0,13547.0,1
AmeriState Bank,[58753],611,23222900.750000004,2891.0,1
America First FCU,[106784],4739,183678639.17000002,28244.0,0
America's Christian CU,[92358],966,83426670.0,10278.0,0
American AgCredit ACA,[199790],872,165221641.98000002,18782.0,0
American Bank,"[121552, 41882, 28188]",1877,180287061.50999996,19791.0,1
American Bank & Trust,[66723],2414,103053712.67,11327.0,1
American Bank & Trust Company,[29195],221,13579832.21,2082.0,1
"American Bank & Trust Company, Inc.",[124751],559,46294056.36,5580.0,0
American Bank and Trust Company,[59341],246,31096414.549999997,3085.0,1
"American Bank and Trust Company, National Association",[123981],166,25605869.5,3144.0,1
American Bank of Baxter Springs,[25698],150,4440501.609999999,530.0,1
American Bank of Commerce,[72188],1456,191583300.27,21903.0,1
American Bank of Missouri,[41755],504,55040611.82,6283.0,0
American Bank of the Carolinas d/b/a American Bank,[525602],190,14077624.7,1708.0,0
"American Bank, National Association","[69225, 25420, 69654, 72071]",3771,425884402.83000004,50847.0,1
American Business Bank,[123001],1551,940074389.12,70258.0,1
"American Commerce Bank, National Association",[398147],249,17761469.98,2470.0,1
"American Commercial Bank & Trust, National Association",[22237],1092,318036012.27,26257.0,1
American Community Bank,[124208],831,49436449.68,5927.0,1
American Community Bank & Trust,[124396],1239,304700159.27,23879.0,1
American Community Bank of Indiana,[84416],569,37563824.11,4526.0,1
American Continental Bank,[338102],86,8074579.51,1092.0,1
American Eagle Bank,[282588],100,8087132.0,873.0,1
American Exchange Bank,"[42160, 58994]",281,11134456.74,1276.0,1
American Express National Bank,[113190],6777,676776634.8800001,71680.0,1
American Federal Bank,[81371],1333,66653876.9,7687.0,1
American First National Bank,[122640],557,28367282.259999998,5358.0,1
American Heritage Bank,"[59275, 203973]",974,69023437.17,7753.0,1
American Heritage FCU,[103998],640,43688679.31,5777.0,0
American Heritage National Bank,[38326],643,50877973.26,6262.0,1
American Lending Center,[530223],17854,533759688.84,49404.0,0
American Metro Bank,[121047],147,6096030.390000001,1053.0,1
American Momentum Bank,[444341],2224,402306302.85999995,37647.0,1
American National Bank,"[17509, 42407]",3175,545497167.89,55659.0,1
American National Bank and Trust Company,[73215],3084,360315581.79,47670.0,1
American National Bank of Minnesota,[117900],360,33493233.08,3861.0,1
American Partners FCU,[109694],257,7883344.0,1025.0,0
"American Plus Bank, National Association",[449416],99,9024747.350000001,1705.0,1
American Pride Bank,[452636],276,11856410.690000001,2058.0,1
American Riviera Bank,[441973],1052,188579337.89,19684.0,1
"American Savings Bank, FSB",[112343],6086,542327270.37,65042.0,0
American Southwest CU,[91323],204,12927386.83,1513.0,0
American Spirit FCU,[93773],25,3073786.1399999997,487.0,0
American State Bank,"[68992, 25469, 25350]",3140,192368154.36999995,23384.0,1
American State Bank & Trust Company of Williston,[52987],438,59736157.519999996,4493.0,1
American State Bank of Grygla,[38198],119,2916854.0599999996,420.0,1
American United FCU,[106826],128,5619590.65,717.0,0
Americana Community Bank,[38900],275,19495084.849999998,2199.0,1
Americu CU,[101466],463,16008932.23,2624.0,0
Ameris Bank,[19595],13873,1504250441.41,186816.0,1
"Amur Equipment Finance, Inc.",[529652],20341,517952980.09000003,40654.0,0
Anchor Bank,[433872],342,21364303.180000003,2308.0,1
Anchor State Bank,[20220],180,19986165.07,1900.0,1
Anderson Brothers Bank,[66230],2848,134113049.0,21112.0,1
Anderson State Bank,[22227],98,2216115.25,274.0,1
Andover State Bank,[25665],430,40355081.15,5797.0,1
Androscoggin Savings Bank,[29743],787,101591529.97,11377.0,1
Anna State Bank,[20223],127,2512050.0,402.0,1
Anna-Jonesboro National Bank,[20222],285,9754438.129999999,1252.0,1
Anstaff Bank,[4348],1451,49133367.9,6779.0,1
Anthem Bank & Trust,[82812],72,3232895.89,404.0,1
Apex Bank,[66850],881,28696978.13,4153.0,1
Apple River State Bank,[20231],900,36080060.7,4629.0,1
Applied Bank,[120872],105,27867561.1,2710.0,1
Arbor Bank,[42371],1225,98923172.32,13075.0,1
Arbor Financial CU,[99414],265,7393224.0,1023.0,0
Arcadian Bank,[38215],467,27733311.660000004,2905.0,1
Arcata Economic Development Corporation,[188296],106,6761084.5,923.0,0
Arcola First Bank,[20234],80,2980834.0,389.0,1
Arizona Central CU,[91264],137,5148278.23,571.0,0
Arizona Financial Credit Union,[91374],723,62856239.400000006,7869.0,1
Arkansas Capital Corporation,[224779],1130,75261687.10999998,9807.0,0
Arlington Community FCU,[107066],263,8594430.5,935.0,0
Armor Bank,[121631],305,22340650.510000005,2631.0,1
Armstrong Bank,[59482],3859,146797221.75,20067.0,1
Aroostook County Federal Savings & Loan Association,[89182],102,6846032.0,1220.0,1
Arrha CU,[98571],12,559571.0,49.0,0
Arsenal CU,[100087],359,9131935.4,1154.0,0
Arthur State Bank,[66364],469,36515813.77,5225.0,1
