GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,NAME_M,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021
"G0100010","2014-2018","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",55200,53672,41412,10475,159,568,5,41,1012,0,1012,1528,1025,90,0,0,27,368,18,18,0,"Autauga County, Alabama",0,0,59,212,68,166,11,59,251,28,251,0,337,89,28,28,36,349,29,29,28
"G0100030","2014-2018","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",208107,198754,172768,19529,1398,1668,9,410,2972,352,2620,9353,6758,235,124,12,0,1624,600,251,349,"Baldwin County, Alabama",0,0,227,317,315,360,13,288,585,372,560,0,686,204,123,19,28,642,345,159,328
"G0100050","2014-2018","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",25782,24676,11898,12199,63,85,1,86,344,13,331,1106,318,67,9,11,0,692,9,9,0,"Barbour County, Alabama",0,0,22,184,40,38,3,69,161,19,162,0,179,50,16,20,22,175,13,13,22
"G0100070","2014-2018","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",22527,21980,16801,4974,8,37,0,0,160,0,160,547,467,44,0,0,0,9,27,0,27,"Bibb County, Alabama",0,0,22,97,16,54,22,22,89,22,89,0,70,63,22,22,22,16,32,22,32
"G0100090","2014-2018","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",57645,52384,50232,820,124,198,18,174,818,0,818,5261,4822,42,17,0,0,263,117,31,86,"Blount County, Alabama",0,0,229,159,67,33,32,229,166,28,166,0,174,49,25,28,28,148,86,43,75
"G0100110","2014-2018","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",10352,10301,2228,7893,122,56,0,2,0,0,0,51,48,0,0,0,0,3,0,0,0,"Bullock County, Alabama",0,51,19,146,139,71,19,4,19,19,19,51,51,19,19,19,19,7,19,19,19
"G0100130","2014-2018","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",20025,19958,10384,9027,2,231,0,0,314,0,314,67,30,28,0,0,0,0,9,9,0,"Butler County, Alabama",0,43,22,106,4,44,22,22,94,22,94,43,27,27,22,22,22,22,15,15,22
"G0100150","2014-2018","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",115098,110895,83423,23618,227,1065,9,38,2515,60,2455,4203,2135,58,126,0,0,1663,221,142,79,"Calhoun County, Alabama",0,0,34,387,83,146,14,28,444,55,439,0,432,50,184,28,28,413,128,109,86
"G0100170","2014-2018","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",33826,33058,18872,13319,97,405,0,18,347,0,347,768,611,0,0,0,0,157,0,0,0,"Chambers County, Alabama",0,0,2,159,43,38,25,29,159,25,159,0,145,25,25,25,25,145,25,25,25
"G0100190","2014-2018","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",25853,25455,23730,1267,236,42,0,0,180,0,180,398,267,0,0,13,0,90,28,0,28,"Cherokee County, Alabama",0,0,22,76,130,47,22,22,136,22,136,0,84,22,22,21,22,67,44,22,44
