"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","J",41,"J",198,"J",898,10,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA","G",7616,"G",103920,"G",447397,475,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA","H",7450,"H",70191,"H",315640,502,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA","G",214,"H",2166,"H",9307,15,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA","J",117,"J",1162,"J",5618,6,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA","G",818,"G",7700,"G",36543,99,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA","G",1597,"G",14330,"G",66152,229,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA","H",124,"H",782,"H",3829,19,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA","H",115,"G",1057,"G",4920,14,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA","G",465,"H",4772,"H",23807,83,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA","J",26,"G",274,"G",1269,8,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA","G",74,"G",746,"H",3546,14,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA","G",5074,"G",48879,"H",219468,307,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA","G",7917,"G",89359,"G",390196,525,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA","G",202,"G",1426,"G",6068,6,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA","G",2810,"G",34828,"G",148856,74,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA","H",197,"H",2092,"H",10083,22,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA","G",3502,"G",38418,"G",170353,415,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA","G",7682,"G",82174,"G",372843,498,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA","G",133,"H",1174,"H",6441,16,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA","H",1169,"G",9673,"G",47194,219,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA","H",108,"G",1031,"G",4875,17,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA","G",121,"G",1134,"G",5501,26,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA","G",723,"G",6475,"G",30989,132,"GRANBY","MA","HAMPSHIRE"
"01034","GRANVILLE, MA","G",113,"H",1139,"H",5833,34,"GRANVILLE","MA","HAMPDEN"
"01035","HADLEY, MA","G",4760,"G",40274,"G",176448,295,"HADLEY","MA","HAMPSHIRE"
"01036","HAMPDEN, MA","G",896,"G",8398,"G",43234,110,"HAMPDEN","MA","HAMPDEN"
"01037","HARDWICK, MA","J",267,"J",3065,"J",14553,16,"HARDWICK","MA","WORCESTER"
"01038","HATFIELD, MA","H",1382,"H",18693,"H",78656,63,"HATFIELD","MA","HAMPSHIRE"
"01039","HAYDENVILLE, MA","J",266,"J",2462,"J",12153,35,"HAYDENVILLE","MA","HAMPSHIRE"
"01040","HOLYOKE, MA","G",16103,"G",196053,"G",811594,845,"HOLYOKE","MA","HAMPDEN"
"01041","HOLYOKE, MA","G",822,"H",9159,"H",42009,20,"HOLYOKE","MA","HAMPDEN"
"01050","HUNTINGTON, MA","G",185,"H",1400,"H",6909,33,"HUNTINGTON","MA","HAMPSHIRE"
"01053","LEEDS, MA","H",1634,"H",32133,"H",127981,35,"LEEDS","MA","HAMPSHIRE"
"01054","LEVERETT, MA","G",64,"G",424,"G",2721,27,"LEVERETT","MA","FRANKLIN"
"01056","LUDLOW, MA","G",4048,"G",45546,"G",218394,406,"LUDLOW","MA","HAMPDEN"
"01057","MONSON, MA","G",783,"G",8726,"G",43219,141,"MONSON","MA","HAMPDEN"
"01059","NORTH AMHERST, MA","H",49,"H",471,"G",1986,6,"NORTH AMHERST","MA","HAMPSHIRE"
"01060","NORTHAMPTON, MA","G",10656,"G",130337,"G",579559,690,"NORTHAMPTON","MA","HAMPSHIRE"
"01061","NORTHAMPTON, MA","G",102,"G",1100,"H",5557,21,"NORTHAMPTON","MA","HAMPSHIRE"
"01062","FLORENCE, MA","G",1688,"G",18847,"G",80381,199,"FLORENCE","MA","HAMPSHIRE"
"01066","NORTH HATFIELD, MA","J",68,"J",1353,"J",4726,6,"NORTH HATFIELD","MA","HAMPSHIRE"
"01068","OAKHAM, MA","G",72,"G",785,"G",4380,33,"OAKHAM","MA","WORCESTER"
"01069","PALMER, MA","H",3027,"H",32497,"H",148473,238,"PALMER","MA","HAMPDEN"
"01070","PLAINFIELD, MA","J",19,"J",76,"J",455,8,"PLAINFIELD","MA","HAMPSHIRE"
"01071","RUSSELL, MA","G",121,"G",697,"G",3275,18,"RUSSELL","MA","HAMPDEN"
"01072","SHUTESBURY, MA","H",87,"G",634,"H",2400,21,"SHUTESBURY","MA","FRANKLIN"
"01073","SOUTHAMPTON, MA","G",966,"H",9872,"H",46744,120,"SOUTHAMPTON","MA","HAMPSHIRE"
"01074","SOUTH BARRE, MA","J",49,"J",414,"J",2712,8,"SOUTH BARRE","MA","WORCESTER"
"01075","SOUTH HADLEY, MA","H",3555,"G",38342,"G",169657,303,"SOUTH HADLEY","MA","HAMPSHIRE"
"01077","SOUTHWICK, MA","G",1980,"G",18974,"G",87099,226,"SOUTHWICK","MA","HAMPDEN"
"01079","THORNDIKE, MA","H",49,"G",490,"G",2218,10,"THORNDIKE","MA","HAMPDEN"
"01080","THREE RIVERS, MA","G",289,"G",3008,"G",12103,39,"THREE RIVERS","MA","HAMPDEN"
"01081","WALES, MA","G",70,"G",444,"G",2176,20,"WALES","MA","HAMPDEN"
"01082","WARE, MA","G",2018,"H",24010,"H",95120,162,"WARE","MA","HAMPSHIRE"
"01083","WARREN, MA","G",156,"G",1379,"G",6205,31,"WARREN","MA","WORCESTER"
"01085","WESTFIELD, MA","G",13197,"G",161364,"G",713500,834,"WESTFIELD","MA","HAMPDEN"
"01086","WESTFIELD, MA","H",711,"H",4987,"H",28090,13,"WESTFIELD","MA","HAMPDEN"
"01088","WEST HATFIELD, MA","H",334,"G",3246,"G",15231,27,"WEST HATFIELD","MA","HAMPSHIRE"
"01089","WEST SPRINGFIELD, MA","G",14283,"G",153320,"G",674491,923,"WEST SPRINGFIELD","MA","HAMPDEN"
"01090","WEST SPRINGFIELD, MA","H",111,"G",1434,"G",7058,17,"WEST SPRINGFIELD","MA","HAMPDEN"
